page,key,english,arabic
index,index.contact.kicker,Contact,
index,index.contact.title,Tell us what you're building.,
index,index.contact.body,"Share the rough version. The launch date, the audience, the problem, the dream. We can shape the rest together.",
index,index.contact.phone_label,Phone: +966 50 187 7873,
index,index.form.name,Name,
index,index.form.email,Email,
index,index.form.project_type,Project type,
index,index.form.choose_project,Please Choose Your Project,
index,index.form.option_marketing_campaign,Marketing Campaign,
index,index.form.option_brand_film,Brand film,
index,index.form.option_social_campaign,Social campaign,
index,index.form.option_website,Website,
index,index.form.option_full_launch,Full launch,
index,index.form.message,What should this project accomplish?,
index,index.form.submit,Send inquiry,
index,index.form.required_status,Please fill in the required details.,
index,index.form.success_status,"Thanks, {firstName}. Your inquiry is ready to wire into a backend.",
portfolio,portfolio.meta.description,"Rahma Media portfolio — selected brand films, campaigns, and digital work.",
portfolio,portfolio.meta.title,Portfolio | Rahma Media,
portfolio,portfolio.title,Portfolio,
portfolio,portfolio.card.cafe.aria,Open Café portfolio project,
portfolio,portfolio.card.cafe.alt,Specialty Café,
portfolio,portfolio.card.cafe.label,Café,
portfolio,portfolio.card.clinic.aria,Open Clinic portfolio project,
portfolio,portfolio.card.clinic.alt,Wellness Clinic,
portfolio,portfolio.card.clinic.label,Clinic,
portfolio,portfolio.card.salon.aria,Open Salon portfolio project,
portfolio,portfolio.card.salon.alt,Beauty Salon,
portfolio,portfolio.card.salon.label,Salon,
process,process.meta.description,How Rahma Media works — a tight three-phase process from strategy to launch.,
process,process.meta.title,Our Process | Rahma Media,
process,process.back_link,← Rahma Media,
process,process.hero.kicker,How we work,
process,process.hero.title,Our Process.,
process,process.hero.body,"Five phases. Each one is tight, purposeful, and built to move fast without losing the thread",
process,process.hero.view_work_cta,View Our Work,
process,process.hero.start_project_cta,Start a project,
process,process.momentum.title,How We Build Momentum,
process,process.timeline.audit.title,Audit,
process,process.timeline.audit.body,"We assess brand identity, menu/product offer, content quality, platform performance, and customer experience",
process,process.timeline.audit.example,"Example: Café had unclear menu, weak TikTok use, no signature items",
process,process.timeline.strategy.title,Strategy,
process,process.timeline.strategy.body,"We prioritize the highest-leverage opportunities, develop a focused growth roadmap, and create a weekly content calendar for consistent execution",
process,process.timeline.strategy.example,"Example: Simplify menu, introduce signature products, unify visuals, design seasonal campaigns",
process,process.timeline.create_launch.title,Create & Launch,
process,process.timeline.create_launch.body,"We produce content systems, campaigns, visuals, and rollout plans fast",
process,process.timeline.create_launch.example,"Example: Daily content cadence, Instagram refresh, TikTok concepts, morning offers",
process,process.timeline.analyze.title,Analyze,
process,process.timeline.analyze.body,"We collect performance data, review content results, and identify clear opportunities through audience insights",
process,process.timeline.analyze.example,"Example: Reach trends, engagement patterns, campaign reports, audience behavior",
process,process.timeline.optimize.title,Optimize,
process,process.timeline.optimize.body,We track results weekly and refine based on response,
process,process.timeline.optimize.example,"Example: Friday reviews, performance reports, content adjustments based on new insights",
process,process.result_note,Recent client example: projected 30–50% lift through stronger execution and consistency.,
process,process.closing.title,Ready to move from idea to launch?,
process,process.closing.body,"Share the rough version- the launch date, the audience, the problem, the dream. We can shape the rest together!",
process,process.closing.start_project_cta,Start a project,
process,process.closing.see_work_cta,See our work,
portfolio-detail,project.meta.description,Rahma Media portfolio project.,
portfolio-detail,project.meta.title,Portfolio | Rahma Media,
portfolio-detail,project.back_link,Back to portfolio,
portfolio-detail,project.cafe.alt,Specialty Café,
portfolio-detail,project.cafe.kicker,Café,
portfolio-detail,project.cafe.title,A welcoming café brand brought to life.,
portfolio-detail,project.cafe.desc,"Visual identity, content direction, and digital presence crafted for the café.",
portfolio-detail,project.clinic.alt,Wellness Clinic,
portfolio-detail,project.clinic.kicker,Clinic,
portfolio-detail,project.clinic.title,A trusted clinic brand built for modern patients.,
portfolio-detail,project.clinic.desc,Brand storytelling and digital content designed to build credibility and attract the right audience.,
portfolio-detail,project.salon.alt,Beauty Salon,
portfolio-detail,project.salon.kicker,Salon,
portfolio-detail,project.salon.title,"A premium salon experience, captured and shared.",
portfolio-detail,project.salon.desc,Content strategy and visual production that communicates quality and drives bookings.,
portfolio-detail,project.browser_title,{projectName} | Rahma Media Portfolio,
,,,
,,,
,,,
,,,
